
									***YUGANDHAR BANK OF INDIA***

ACCOUNT NO. :YBI6963
CUSTOMER NAME:Mr./Mrs: VeesamYugandhar
S/D/W/H/O NAME : VeesamVenkataNagesh
D.O.B:10/07/2000
																						Branch Manger


=================================================================================================================================================



S.NO			DEPOSITE		WITHDRAWL			BALANCE
1   			 1000 			 0 					 1000
2   			 2000 			 0 					 3000
3   			 1000 			 0 					 4000
4   			 0  			 1000 				 3000
5   			 0  			 1000 				 2000
6   			 5000 			 0 					 7000
7   			 0  			 2000 				 5000
8   			 0  			 1000 				 4000
9   			 10000 			 0 					 14000
10   			 0  			 2000 				 12000
11   			 0  			 1000 			     11000
12   			 0  			 1000 			     10000
13   			 0  			 1000 			     9000
14   			 0  			 1000 			     8000
15   			 0  			 1000 			     7000
16   			 0  			 1500 			     5500
17   			 0  			 2000 			     3500
18   			 0  			 500 			     3000
